tweet,original_sentiment
"@NEWSTALK1010 #NO #PHOTO=#CENSORED by #TWITTER



#ActorCON

Need a subject like #PANDEMIC #CORONAvirus to #TREND?

A DISTRACTING #Kardashian #Fight?

How about a #REAL #CROWD to #PROTEST or go on #TOILETPAPER buying runs? There are #THOUSANDS of #Ac",Negative
"Starting Tuesday, March 24th, all ReRack Retail Locations will be closed to protect our employees and the community from Covid-19. Our Online Store and Customer Service Team is still available. Please email us at sales@rerack.com for any questions you may have. https://t.co/ZoPXWur4SN",Positive
COVID-19 Store Update: Temporary store closures mount | Chain Store Age #marketing101 #cro #retail #transaction https://t.co/LGvzpxzwev via @chainstoreage,Neutral
JUST IN: Prime Minister Narendra Modi says India will go under complete lockdown from Wednesday https://t.co/gAYG744BEy,Neutral
"How to give Everyone #Axiety right now.



#Covid19 #Covidiot #CoronaVirus #TP #ToiletPaper https://t.co/EEMS0Ymrjk",Neutral
Almost half of #China's listed consumer companies don't have enough cash to survive another six months https://t.co/xpJnDZuGvZ via @BloombergQuint #ausecon @auspol #coronavirus #covid19,Neutral
"@HABS4LIFE25 You can check outÃÂ https://t.co/DbjzpxcxZ8ÃÂ or say ""Free Preview"" into your Ignite TV remote to see what's new!   You can also check out https://t.co/bTXzPMqLPb for more information on what we are doing during these difficult times.",Positive
"Join Consumer Reports experts (today) Tues., 3/24 at 3pm ET for a Facebook Live to learn tips and advice on how to protect yourself from #coronavirus and ask questions. Bookmark this link: https://t.co/MMVGF5HClx

#CRSponsored https://t.co/u6cPQJiR2U",Positive
"Coronavirus doesn't dent farmers' confidence following summer rain, high livestock prices https://t.co/jijNqpsjjY via @ABCNews",Positive
"#Breaking 

""No one should make a run to the grocery store to overstock..."" - @GovInslee 

#KOMONews #Covid19 #Coronavirus",Negative
#Coronavirus Enhances The Appeal Of Certain VR Content. Read more on our Kagan Spring U.S. Consumer Insights survey here: https://t.co/DposPg3g7M https://t.co/9oBlYLSezs,Positive
#COVID-19 #YouTube Trends - Think with Google https://t.co/KWuio2L06D https://t.co/ny7eGt2LYU,Neutral
New COVID-19 Related Scams Emerge as Virus Spreads Ã¢ÂÂ (https://t.co/gzC9VsBNpz) Ã¢ÂÂ Attorney General Ashley Moody today issued a Consumer Alert about new scams related to the COVID-19 pandemic. The scams run the... https://t.co/w2UDRywUYz https://t.co/05SznPQ8OL,Extremely Negative
"Buzzing #Stock: Jubilant Food suspends dine-in facility across Domino#39;s Pizza restaurants, shares fall 8% https://t.co/Fx4VEByvtb",Extremely Positive
Consumer Finance Monitor launches Banking and Consumer Financial Services COVID-19 Resource Center; Ballard Spahr to hold March 25 webi... - https://t.co/XnGlcU6dnK,Neutral
#HolidayFarms in #GlenHead #NY has plenty of #ToiletPaper #PaperTowels if you are looking for it #CoronavirusNewYork #coronavirus #CoronavirusPandemic #SecureTeam420 @LennyDykstra @officialmcafee @Project_Veritas #StayAtHomeOrder #COVID2019 #April2020 #ChineseCoronaVirus #USA,Neutral
"""With Americans poised to experience their most abrupt liquidity shock in U.S. history . . . now is the time to deploy the full range of tools for addressing it,"" says @RaminToloui, a Professor of the Practice at @SIEPR. #coronavirus

https://t.co/6HBfohZmvy",Negative
? BREAKING NEWS: We're suspending time-of-use electricity prices for 45 days to support families & small businesses during the #COVID19 outbreak. Time-of-use customers will be charged the off-peak rate (10.1 c/kWh) 24/7 starting today. Read more: https://t.co/yvf3yZOuN4 https://t.co/F3m0lA7Q9l,Positive
"""Your going to lose people to the flu but you'll lose more people"" if there's a recession or depression, including because of ""massive suicides,"" according to @POTUS.",Extremely Negative
"A new report from the User Experience Strategies Service (UXS) at Strategy Analytics has examined the likely long-term impact of the pandemic on consumer human-machine interface (HMI) preferences.



https://t.co/EklqlpxdOe https://t.co/al0ZGUNmav",Neutral
"Streetbees' CEO and founder @TugceBulut and Head of Client Success Vidisha Gaglani will be live at 3pm (GMT) to discuss how your brand can address fast-changing #consumer needs as they emerge during this turbulent time.



Sign up now: https://t.co/TPHgtXLRXJ



#coronavirus https://t.co/cEFdh5rRwI",Positive
"@TelanganaCMO @TelanganaDGP @MinisterKTR @MoHFW_INDIA @hydcitypolice @GHMCOnline 

I am waiting Ladies,Gentlemen

In Hyderabad Gachibowli Manikonda Alkapur Township Narsingi area from last 2 weeks hand Sanitizer, masks are not available in medical shop
",Positive
"??COMING SOON!??

?RELEASE DATE 31/3/2020?

#preorder!#CoronavirusLockdown #COVIDIDIOTS #COVID19 #coronavirus #amazon #poetry #POEMS #Verses #humour #funny #virus #toiletpaper #comingsoon #collaboration #booklovers #BookClub #kindle #KindleUnlimited #paperback #ebook https://t.co/nJ0zMJ0iDj",Neutral
"@CaptNiKKi Hi Nikki. Absolutely - we're offering flexible payment options for consumer and small business customers who have been financially affected by the crisis. If you need a hand, please give us a call. Check out this link for our COVID-19 updates: ",Positive
"Still Doing Online Shopping? Cardboard Could Bring #Coronavirus Right Into Your Home #CoronaUpdate #CoronaTamilnadu



https://t.co/7UqH9CLyM9",Neutral
"Starting this Friday at 1 p.m. CDT, join The Center for Food Integrity each week for CFI NOW: COVID-19 and the Latest Consumer Trends, where @npdgroup joins us to detail weekly food industry research and answer your questions. Register today: https://t.co/VjpA809ZOL https://t.co/3OaO0YzJLS",Positive
"Opportunities in Functional Foods, Beverages & Supplements in the Coronavirus Age: New Hartman Group study launches w/spotlight on Impact of Coronavirus On Consumer Wellness Lifestyles #functionalfoods #functionality #supplements #immunity #coronavirus https://t.co/BQhGhauzBM",Extremely Positive
#Coronavirus #Ontario #Hydro - Finally Ontario Minister Rickford: $160M investment is being made to hold prices at off-peak rates. Charge will be 10.1 cents per kWh.,Neutral
"These are ""Delicate"" times... ? phillyascleo thetwiddleofficial 

Ã¢ÂÂ-

#life #living #lifestyle #toiletpaper #tp #delicate #coronavirus https://t.co/XC9aG3zHZ0",Positive
"Think Iodine, Not Toilet Paper: The Race to Protect Yourself & Your Family Against the Coronavirus Starts Now



https://t.co/DfBVoAiflP



#Coronavirus #COVID19 #ToiletPaper #Iodine",Positive
"Absolutely fantastic TEDx Talk.

Why are people hoarding toilet paper? | Hans Hacker | TEDxUAMonticello https://t.co/thvAZ4D9fU via @YouTube #TEDxUAMonticello #coronavirus #selfishness #society #tribalism #disassociation #toiletpaper #TEDx #badactors",Positive
"Unsure of what to say to customers during the #COVID19  pandemic? The research in this article from the 4A's can guide you. Vela Agency is a 4'As member and is ready to provide crisis communication support to our clients.



https://t.co/bPRPaerhv1 https://t.co/otgbHCpD1W",Negative
"DOUBLE TAP ??IF YOU REMEMBER BEING EMPLOYED?



Follow ? @walletgyde for more tips on lifestyle and personal finance during the Covid-19 outbreak.?



#coronavirus #pandemic #socialdistancing #shutdown #toiletpaper #quarantine #dating #mindset #positivevibes #energy https://t.co/pOHoPKfGu1",Neutral
https://t.co/UKpDkp02rs Helps You Calculate How Long Your TP Stash Will Last #Coronapocalypse #CoronaOutbreak #Coronavirus #coronavirususa #ToiletPaper #TP #Website https://t.co/PW23EHejmb,Positive
"Companies, Trade Organizations, Movie Industry and Newspapers seek to postpone date for the #California Consumer Privacy Act (#CCPA) due to the new #coronavirus and a lack of clarity on the enforcement rules https://t.co/tJJ1eIQVEI. https://t.co/pShKLohkQr",Negative
"#PPE 

#Coronavirus

#CoronavirusOutbreak 

#ProtectYourFamily

#PersonalProtectionEquipments



Online shopping from Amazon, a great selection at Health & Household Store. https://t.co/Gbx0Ay3o1q https://t.co/2JxJqhIbNM",Extremely Positive
"Coronavirus or COVID 19 Update: The disease is still spreading worldwide and hasn't shown signs of slowing down. We should all be prepared, don't panic. Be sure to have at least a 72-hour supply of food, water,Ã¢ÂÂ¦ https://t.co/RmMjwjNiYW",Neutral
"CONSUMER HEALTH DIGEST 3/22/20



FTC coronavirus scam warnings



Bogus COVID-19 vaccine kit offer stopped



Snopes COVID-19 fact-checking hub



Lupus, arthritis patients face shortages of drugs hyped for COVID-19



Chiropractors/naturopaths & COVID-19 claims 



https://t.co/yuQm7QjLil",Extremely Negative
"According to Ipsos MORI, 50% of Chinese and 31% of Italian consumers say they're shopping online 'more frequently' to purchase products they'd usually buy in-store during the ongoing #coronavirus outbreak. https://t.co/xc0L0XEFqv",Neutral
"In #Pakistan @ImranKhanPTI announces relief package. 

Decreases oil prices while as in #India Oil prices were increased this week. 



#CoronavirusPandemic #Coronavirus https://t.co/3yKsNPPncJ",Extremely Positive
@alliantgroup's own @SecJohanns was quoted in this @Bloomberg piece discussing the unprecedented demand on the U.S. food supply chain during the #coronavirus pandemic. Read more here: https://t.co/OSmXiyXM85,Negative
Major Consumer Protections Announced in Response to COVID-19 https://t.co/KlJdvjsWPc,Neutral
"Starting THIS week: 

Morrisons Hire Thousands of New Staff Amid COVID-19 Outbreak



#COVID-19 #Morrisons #HR_Recruting



https://t.co/G8fuDXsfmF https://t.co/l6qurCnpTs",Neutral
"United #Food+Commercial Workers/#UFCW #Local5 #Union Agreement w/#Safeway 

For #Grocery Store Workers

#Coronavirus/#COVID19

Parents Incr Flex Schedule

Expand Paid SickLeave

Exposed: To 2 wks Paid TimeOff Before Use SickLeave

$2/hr Raise

Existing Over Temps

https://t.co/dYjLakS8gg",Extremely Positive
"Washington (CNN) - The Trump administration is appealing to countries around the world to give or sell the US items as basic as hand sanitizer and as complex as respirators to combat the surging #coronavirus pandemic.

#LetsFightCovid19 #COVID19

https://t.co/rUvAx18T2T",Positive
Waterstones chief exec James Daunt has described concerns raised by members of staff as utter shit Needless to say it s not gone down well with his employees who are in my DMs and emails Angry and disgusted says one senior bookseller,Extremely Negative
"@parrysingh But dude this is useless bcoz it says Zero Alcohol and #coronavirus get affected from sanitizer which has around 70% alcohol..... 



So they making you fool with free offer ??",Extremely Negative
A friend of mine is breaking up with her boyfriend They decided to meet up at a grocery store five feet apart Elisabetta Abrami is 32 single outgoing   and on lockdown Mostly confined to her small apartment in Rome this is her new normal,Extremely Positive
There are more than 37 000 ICE detainees in private and local jails Some are crammed in making social distancing impossible Many are terrified at the lack of easy access to soap or sanitizer Now there is the first confirmed case of,Negative
"Rs. 1.2 Trillion Covid-19 Package: Govt Slashes Petrol Prices, Stipends for Millions & More https://t.co/596GpS2COt",Negative
When the level of human trafficking ranges from the to the to officials to the and it s time to turn off that television,Neutral
Fact Check Can Hand Sanitizer Catch Fire,Positive
Italians have realised there s no need to panic supply chains have kept flowing and supermarket shelves are well stocked says Sky s Sally Lockwood in Rome,Negative
Top 5 victims of 5 Common sense 4 Grocery store etiquette 3 Math 2 Humor 1 Freedom,Extremely Positive
"COVID-19 Consumer Warnings and Safety Tips

As the novel coronavirus (COVID-19) pandemic continues, phone scammers have seized the opportunity to prey on consumers. The FCC has received reports of scam and hoax  campaigns 

For more information: https://t.co/VwJ9YM79h4 https://t.co/WHKAmCetuV",Neutral
"TOMORROW! Don't miss the live COVID-19 Crisis Communications Seminar, hosted by Ronn Torossian, 5WPR CEO & President, and Dara A. Busch, President of our Consumer Practice. Register here and join them, March 26th @ 2:00pm ET https://t.co/SpqY4xixYN https://t.co/kSn83w40vk",Negative
Cuomo's Prison Workers Say They're Not Actually Making Hand Sanitizer https://t.co/WZKyfPq4nH via @vice #coronavirus #covid19,Extremely Negative
There is no need for consumers to panic buy as food supply chain remains operational panic buying may in fact disrupt the food supply chain says Agriculture Business Chamber Economist Wandile Sihlobo,Extremely Negative
Experts say the government's latest coronavirus restrictions could see national property prices take a hit. https://t.co/ly4o1sVyAG #coronavirus #7NEWS https://t.co/yjLxONvdPD,Neutral
LOW ON DONATIONS Food banks and pantries across the DMV say their donations are running low and demand is up during the crisis,Extremely Negative
"Drug cleared by Trump, FDA for coronavirus testing also found in fish tanks -- and prices online are soaring https://t.co/wmNMAKLKXq #FoxNews

#TrumpLiesAmericansDie #FishTankCleaner #COVID?19 #coronavirus #chloroquine #COVIDIOT #FoxNewsLies #FoxNewsKills 

#VoteBlueNoMatterWho?",Positive
Grocery Stores Are the #Coronavirus Tipping Point https://t.co/sUENV5Bm7O,Neutral
"RESIDENTS OF LONDON BOROUGH OF ENFIELD WHO NEED:



Picking up shopping

Posting mail

Picking up medicine/prescription

A friendly phone call

Are you out of food & need help

Are you in financial hardship



Call us on 0203 821 1966



Or fill in the online form: 

https://t.co/bjZPXU4a0H",Positive
"$HBOR



@HarborsideInc Addresses #COVID19 and Provides Business #UPDATE 



All relevant #Harborside operations and retail store locations remain fully operational



#cannabisnewsDD #PotStocks



https://t.co/24TWxXly6K",Neutral
Did You Stock Up Too Much Here s How You Can Donate Food,Neutral
"*People Started Washing Hands & Using Hand Sanitizer. 



Other Viruses To #coronavirus : https://t.co/b3SyrdUtkq",Positive
Hand Sanitizer masks reached MPs early morning It will be distributed to people who are in need Wt did u do as an MP of Bengaluru South Surya Thats what they say Empty vessels make more noise,Positive
"The bat was Archduke Franz Ferdinand and the consumer was Gavrillo Princip, and now you have a COVID-19 pandemic. #COVID19",Neutral
Hi I will write you a short story or essay of your choice I was recently temporarily laid off due to the COVID 19 outbreak and am hoping to make ends meet by pouring my heart into my original passion writing Prices are low as I am by no means a professional but I will 1 2,Positive
Greek gov t announces changes to supermarket hours no more Sunday opening,Negative
Cheryl Idell Chief Research Officer at Entertainment amp Direct to Consumer shares how social distancing in the wake of COVID 19 is affecting usage of digital platforms,Extremely Positive
UPDATE Price Gouging Unreasonable and Arbitrary Increases in Prices of Hygiene Products and Certain Medications Panic Buying on Account of Coronavirus COVID 19 Concerns,Negative
"Dear World, 



Did You stock up enough food?? 



-Central African Republic 



#CoronavirusOutbreak

#CoronavirusLockdown #COVID2019",Positive
COVID 19 Consumer Warnings and Safety Tips Hoax and other scams check link below If you want to receive a free testing kit delivered overnight to your home press 1 Be Safe out there,Positive
Food On Demand Serves Free Meals to Moroccan Doctors Fighting COVID 19,Positive
Anheuser Busch to make hand sanitizer at Van Nuys plant according to the LA Daily News,Positive
Amazon Marketplace and eBay are failing to tackle unscrupulous sellers attempting to profit from the epidemic according to the consumer group Which,Positive
Forty-One Percent of US Adults at Risk for Serious Illness With COVID-19 https://t.co/5y6rwG1fqf,Extremely Negative
It s time for Cabinet to OUTLAW SUPERMARKET PLUNDERING  @ScottMorrisonMP  These people are not listening to your respectful pleas it s time for states to take FIRM ACTION  @DanielAndrewsMP ,Positive
"@guardian Trump did NOT say ""the Nation is nearing the end of the fight of 'then' virus.""



Are you a similar UK rag sold at supermarket checkouts (Elvis & UFO sightings?).



#coronavirus #COVID19 https://t.co/97nfFFHIhY",Negative
No Toilet Paper On Aisle 20 Beat The System by,Negative
"3/9/2020: Bossert, publishes an op-ed saying it is ""now or never"" to act. He advocates for social distancing and school closures to slow the spread of the contagion.

Trump says that developments are ""good for the consumer"" and compares COVID-19 favorably to the common flu.",Neutral
I need to reach out here I have type 1 diabetes I care for a disabled son and my wife who is of with complications from endometriosis Should I really be working front line in a busy supermarket If I go down with covid 19 my family won t function What do I say to my work,Extremely Positive
Officials are warning everyone especially people on Medicare to be careful about fake testing vaccine amp treatment claims as well as identity theft schemes offering COVID 19 tests and  Senior Care Packages   AP FDA Warning,Negative
Demand for robots is increasing during the outbreak as a method to deliver groceries and dispense hand sanitizer according to Beijing based ZhenRobotics,Positive
How To Make Your Own Hand Sanitizer DIY Homemade Hand Sanitizer using World Health Organization WHO Formula,Extremely Positive
"? New Podcast! ""The Marc Patrone Show - March 23, 2020 - US & Canadian Border Closure & Economic Impact of Oil Prices"" on @Spreaker #borderclosure #brampton #caledon #coronavirus #covid_19 #mississauga #oilprices #peelregion #sauga960am #us_canada https://t.co/0anwAGDI1G",Neutral
"Daily life in Beirut. Supermarket attendant wearing splash protection face shield  #coronavirus #cornaviruspandemic #COVID?19 @AlamyNews @TelegraphPics @guardianphotos @TimesPictures 

https://t.co/ez1AkkzuL8 https://t.co/bpxU7l9sBM",Neutral
"Egg prices are skyrocketing because of coronavirus panic shopping - CNN 

#coronavirus #COVID19 

@WHO @alykhansatchu @RiazGilani @RAbdiCG @DavidNdii https://t.co/g05v2ki8ND",Negative
"Just yesterday Gov. Simon Bako Lalong of Plateau State imposed stay at home against Covid-19 but it's unfortunate how some wicked traders/marketers/vendors hiked prices of commodities....

We are our own problem???",Extremely Negative
"COVID-19 is putting increased demand on the local food bank. But food bank leaders say their supply should be fine. 



https://t.co/x0IrWBnMAj",Positive
"#COVID19 Update: Agreement reached on an economic stimulus package, Napa distillery turns to making hand sanitizer. Here's the latest on the novel #coronavirus pandemic in the Bay Area and around the world: https://t.co/P2Weqc8hVj https://t.co/fJC5oBu4ar",Extremely Positive
says he will look into profiteering during the crisis Look no further than the fuel supply chain not passing on 20p of wholesale falls since Christmas Read the facts at  ,Extremely Negative
"From our COVid19 resource guide, Interim Guidance for Healthcare Facilities: Preparing for Community Transmission of COVID-19 in the United State https://t.co/8fxVxQN5vk #covid19 #workerhealth",Positive
SOUTH AFRICA announces 155 new cases of Covid 19 raising the country s total to 709 citizens advised to stock up on food and other essentials ahead of lockdown,Neutral
"We're Not Going to Run Out of FoodÃ¢ÂÂso Don't Panic Shop | Be smart and ethical during this time of #Covid_19 and think of others!

 https://t.co/Yi3qSLdfQ9 via @wired",Positive
Food grain stock will last for next two years says Govt Latest Updates,Neutral
"Grocery delivery services trying to keep up with demand amid COVID-19. @KatieKatro6abc reports:

https://t.co/7EJSQB1d4V",Negative
"COVID-19 and Looking Upward: The Malignancy of Modernism 



How the system that brought you all those unnecessary consumer items also brought you COVID-19. How NZ can come out of this stronger and without the chains of vapid globalism and materialism.



https://t.co/5ZTOWy6hcE https://t.co/7WRLEXxWYh",Positive
Nike Beats Sales Expectations During Coronavirus Pandemic Due to Rise in Online Shoppers https://t.co/dQ37tFVX4u https://t.co/J9CGG6ftgX,Neutral
In the U S Ricard expects to produce about 4 000 gallons of hand sanitizer at its Fort Smith facility according to a recipe of denatured raw alcohol glycerin and hydrogen peroxide provided by the,Positive
"@BorisJohnson 

Nhs staff incl Community,

999 staff,

Care providers,

Supermarket staff,

Food distribution,

Emergency maintenance,



Nobody else to go out, at all.

ÃÂ£50 per day exposure grant to above, affected KEYWORKERS



That's that
",Positive
The key changes being made to prevent panic buying and help those most in need during the coronavirus crisis: (via @guardian) #FMCG #CPG #coronavirus #Covid-19 https://t.co/MquRh08LIn,Extremely Negative
VEG BOX FRUIT BOX WEEKLY BOX SUPER FOODS now available at Free delivery for London anywhere within M25 Minimum Order  54 00 for delivery 19,Extremely Positive
Uncertainty Around COVID-19: Energy Prices are at All-Time Lows https://t.co/T4P6B61tL0 https://t.co/mzO9717IGt,Negative
"Kansas Wheat Prices vs Costs During COVID-19-VIDEO

Dan O'Brien (@KSUGrains) has updated his discussion of wheat prices following jump in recent days. More to come. 

https://t.co/PXjfB7qpMl",Neutral
"Kansas Corn Prices vs Costs During COVID-19

Dan O'Brien (@KSUGrains) provides updated discussion of the corn market in the era of COVID-19, noting other several factors that are influencing the market as well.

https://t.co/1xBbDDb8hY",Positive
"Kansas Soybean Prices vs Costs During COVID-19

Dan O'Brien (@KSUGrains) discusses the factors influencing the soybean market and compares prices and costs at a time when COVID-19 is influencing markets.

https://t.co/Q7GO1Knkzc",Neutral
"The Missouri Senior Medicare Patrol (SMP) has shared a very important message, ""As the number of people and communities affected by the COVID-19 pandemic grows, so do the scams associated with it.""  they have listed 6 recommendations to follow.

https://t.co/ksmab4Z5Rs",Negative
The Fijian Competition and Consumer Commission has reassured Fijians that there isn t a shortage of food or toilet paper because of the coronavirus pandemic More,Positive
Vegetable prices soar as period kicks in Azadpur Mandi traders say supplies have been disrupted due to transportation problems reports,Negative
COVID-19: People are wicked - Kaffy says as she complains about hike in prices of foodstuff (video) - https://t.co/CmsBXimkOi,Extremely Negative
"Shut out of international capital markets and facing a further hit to its finances with the collapse in oil prices, #Iran is struggling to shield its economy from the #coronavirus pandemic, according to economists.



#COVID_19

 

 https://t.co/XhO9pDPBD9",Extremely Negative
"Dollar pegs in the Gulf have proven effective even as the region now faces the #coronavirus outbreak and the crash in oil prices, says Jihad Azour, #IMF's director for the Middle East and Central Asia.



https://t.co/4chS1nk2uJ",Positive
"@BBCNews @BBC_HaveYourSay deliveries !!!??? I work in a supermarket even after all that warning it was still really busy parents were shopping with their kids , people were queuing before the opening , lots were walking with shopping lists and full big tr",Negative
updates Some Have Died Before Getting Tested Abortion Services  Nonessential  in 3 States State Lawmakers Support Unemployment Consumer Protection Bills Child Welfare Courts Take Cases Online,Negative
Covid 19 Lockdown Know Your Online Grocery Shopping Options,Neutral
"New Cleric & Wizard tier Patreon icons! The revamp is fully live! New tiers, rewards, monthly illustration, private Discord, NSFW prices lowered, & more!



I was laid off for a month due to COVID-19, so any support, even just RTs, is very appreciated!



https://t.co/E7Pi4PFMoX https://t.co/JaquUuKIER",Extremely Positive
Tmr is Cheque Day The drug trade continues in the Downtown Eastside despite COVID 19 though supply is lower and prices higher Supervised consumption sites are doing what they can amid more desperation fewer local services,Extremely Negative
"A virologist has confirmed that 'every surface is a hazard' when it comes to COVID-19 and supermarket customers should be particularly mindful of the loose fruit and vegetables in the store.

https://t.co/RUueQxenvU via @Femail",Negative
Talking Points   What a Difference a Month Makes Any talk of trends will in the short to medium term be overshadowed by the Covid 19 pandemic Here are 5 themes that were front of mind for the large players pre crisis,Extremely Negative
NEW Boris Johnson says the Government will look at a new law to stop shops profiteering by pushing up prices during the crisis There is some provision for this in the Coronavirus Bill which should be law by the end of today,Extremely Negative
Supermarket In Denmark Comes Up With A Brilliant Pricing Trick To Stop #HandSanitizer Hoarding | Bored Panda https://t.co/g3ibR10b2e vÃÂ­a @boredpanda #Covid_19,Positive
"WE DON'T USE TOILET PAPER (Zero Waste Family Of 4) 



https://t.co/yj7UsAVB7p via @YouTube



#toiletpaper

#looroll

#coronavirus

#toiletroll",Negative
COVID 19 has resulted in a dramatic shift in consumer purchasing behavior with many finding empty shelves in their grocery stores Kombucha sales were up 10 1 according to latest reports from Nielsen Drink Kombucha and Keep Calm we re in this together,Positive
"Is this a joke or what? @OfficialMasisi @BWGovernment @TsholetsaDomi How you gonna increase prices when people are losing they jobs and business due to #CoronaVirus... 



Yo @MmegiOnline @WeekendPostBW @gazettebw @TheVoiceBW kindly follow this up.... Doesn't make sense at all... https://t.co/NXpFwOhYCA",Extremely Positive
As COVID 19 travels the world scam artists are close behind In addition to fake cures Chicago law enforcement and consumer protection officials are expecting lots of phishing messages trying to steal personal information or gain access to bank accounts,Extremely Negative
"As commerce shifts to mobile apps, consumers are at risk. Appdome CEO, Tom Tovar, says you must protect the consumer data and should follow a basic bill of rights. #Coronavirus #cybersecurity #banking #appsec #mobileappsec @CUTimesReporter https://t.co/uC4vmQiem7",Positive
"Almost half of China's listed consumer companies don't have enough cash to survive another six months #China #CoronaVirus #ChineseVirus #Economy #CoronaVirusPandemic

- via Bloomberg https://t.co/R7RbfJuZ6J",Neutral
"Just wanna say hi to my parents who are in their 60s, they work in a grocery store. And all the other grocery store workers. We appreciate you still out there for us. Just the thought of having to be in the most frequented place during this skeeves me out. #COVID19 #Coronavirus",Positive
"?? according to Trade Promotion Council of India 100% spike in demand of staple food such as rice, #wheat and #pulses due to Covid-19 lockout.



https://t.co/vUR18Qt9yG",Negative
"""3 Food Delivery Stocks Set To Gain As COVID-19 Lockdowns Boost Demand""



https://t.co/RyANm6IuGo",Extremely Positive
Coronavirus In Chicago Price Gouging Complaints Surge As Shoppers Stock Up On Food Supplies,Negative
"Grocery Stores Are the Coronavirus Tipping Point

#AusAirMasks #FaceMask #Coronavirus

https://t.co/JTFRToOWUg",Neutral
Nike Beats Sales Estimates Amid Coronavirus Pandemic | HYPEBEAST https://t.co/JGNxHG6nQR Beats Sales Estimates Amid Coronavirus Pandemic | HYPEBEAST,Neutral
According to the General Manager of the Agency Mrs Kemi Olugbode the engagement became necessary in order to educate traders and consumers on the COVID 19 pandemic while also promoting and protecting consumer rights to safety,Extremely Positive
"Will the Coronavirus Drive Permanent Shifts in Shopping Behavior? By @joanverdon via @growwithco #COVID2019 #coronavirus  #crisis #shopping #retail #pandemic

https://t.co/m3Ix7Rf4Pw",Neutral
"@MamataOfficial @WBPolice #coronavirus we appreciate the responsibility taken by wb police & help by them. We concern about all police's health as well. Please also provide all medical facilities mask, hand gloves, sanitizer ets to all field police to",Extremely Positive
"BETTER THAN TOILET PAPER-

'zombie apocolypse night crawlers prowling the isles of empty shelves of never-before-empty stores-

'Take It Easy' on the Toilet Paper, goods say stores, President Trump  > https://t.co/KGEExAZ99L #tp #toiletpaper #coronapocolypse?

#coronavirus https://t.co/zqZMFnersN",Extremely Positive
"15 CoronaVirus Hacks- Pandemic Guide, Safe Mask, homebound business op, Home Diagnosis,  Better than Toilet Paper, Sanitizers, Movies, Myths & Tips >>> https://t.co/FSC9LVBl1Q??

#Coronavirus 

#Pandemic #mask #test #toiletpaper #sanitizers #bizop https://t.co/KeO43TBmoK",Extremely Positive
Amazon and eBay failing to stop coronavirus profiteers says Which Consumer group finds consistent overpricing on toilet rolls hand sanitiser thermometers and baby formula despite crackdown,Neutral
PSA are regulated as drugs in North America Unless you have gone through the process to have your product approved as such if you launch a hand sanitizer product without you are breaking the law thread,Extremely Positive
"Hand washing for #Coronavirus is 4 minutes so you need to put peppermint or disinfectant essential oil in your homemade safer hand sanitizer say doctor and scientist experts, Sarah Westall,YouTube @FoxNews

https://t.co/MUfxS8rWUc",Extremely Positive
"#BigThreeConsulting #BCG BCG: BCG's second COVID-19 Consumer Sentiment Snapshot reveals consistency in how the virus is impacting categories across surveyed countriesÃ¢ÂÂwhile consumers have reduced spending, savings and wellness are being prioritized. Ã¢ÂÂ¦ https://t.co/mtybYeACqj",Positive
New HOMESTEAD LIVING video is up LINK IN BIO Thanks for watching everyone and please SUBSCRIBE,Extremely Positive
Tamper-Evident Labels Drive Consumer Confidence During #Coronavirus Crisis  https://t.co/cVQs5i5eaN @QSRmagazine https://t.co/LCpqbII553,Negative
"Coronavirus Scams - March 2020



Consumer Alerts



Contact the Trading Standards Services via the Citizens Advice Consumer Helpline on 0808 2231133



#coronavirus #covid19 #scams #information #online #staysafe #alerts https://t.co/0gZKyxnoxa",Negative
BREAKING: Massachusetts governor bans the use of reusable shopping bags and mandates stores do not charge for plastic or paper bags - WCVB,Neutral
@MillieReagan @CarthyNc @annesheridan1 @SimonHarrisTD @Franveale @irishdailymail What makes you say the spread of flu is uncontrollable. Lets deal in facts! And while we are at it can we deal in Ã¢ÂÂ¬ instead of ÃÂ£? If every person could identify every perso,Extremely Negative
"Brewer Mag Test Kitchen Blog: We continue production this week but have simply pulled back. It's nerve-wracking, to say the least, wondering whether some of the beers we're producing right now will ever be tasted by our consumer. https://t.co/YZtGXMfSXM #beerbusiness #beerblog https://t.co/LmnMQcI4NK",Neutral
Survey%3A%20How%20is%20COVID-19%20Changing%20Consumer%20%26%23038%3B%20eCommerce%20Trends%3F via @yotpo https://t.co/f2oD7cJBwG,Neutral
Belgium receives 16 5 million masks Testing capacity to increase to 10 000 day Petrol prices down again Need work Fruit pickers needed Kids won t spend summer hols in school says minister More than half of Brussels firms see turnover fall 75,Extremely Positive
"15 CoronaVirus Hacks- Pandemic Guide, Safe Mask, Home Diagnosis,  Better than Toilet Paper, Sanitizers, Movies, Myths & Tips >>> https://t.co/YvWBC7168k??

#Coronavirus 

#Pandemic #mask #test #toiletpaper #sanitizers https://t.co/NeHgtJtvFX",Extremely Positive
"CORONAVIRUS Special!???

Out of stores for weeks,???

HAND SANITIZER IS NOW AVAILABLE HEREÃÂ - Better than PurellÃ¢ÂÂ ONLY $6ÃÂ -See #3>>>??

https://t.co/K4LkgatgTN????

#handsanitizer??

#coronavirus #CoronaVirusUpdate #CoronavirusPandemic https://t.co/ibgVwG8KvP",Extremely Positive
